time,seconds_elapsed,z,y,x
1772697800029790700,0.059790771484375,-0.0007890945998951793,-0.010241984389722347,-0.08819856494665146
1772697800039838700,0.069838623046875,0.002133458387106657,-0.010007892735302448,-0.08524911850690842
1772697800049887700,0.0798876953125,-0.008150071837008,-0.006352171767503023,-0.08268635720014572
1772697800059936800,0.089936767578125,-0.011797803454101086,-0.006322610657662153,-0.08129379153251648
1772697800069984800,0.09998486328125,-0.009741310961544514,-0.0012889700010418892,-0.06963740289211273
1772697800080033800,0.11003369140625,-0.0044109937734901905,-0.009710151702165604,-0.06624000519514084
1772697800090081800,0.120081787109375,-0.004835501778870821,-0.012955479323863983,-0.05952564626932144
1772697800100130800,0.130130859375,-0.0046506780199706554,-0.017222130671143532,-0.0577746145427227
1772697800110179600,0.1401796875,-0.0016863135388121009,-0.02984045259654522,-0.06082260236144066
1772697800120227600,0.1502275390625,-0.00290417717769742,-0.03622671216726303,-0.06621497124433517
1772697800130276600,0.160276611328125,-0.0021371867042034864,-0.04984505474567413,-0.07425052672624588
1772697800140324600,0.17032470703125,-0.004847751930356026,-0.0656791478395462,-0.08448266237974167
1772697800150373600,0.18037353515625,-0.006701312027871609,-0.09103323519229889,-0.09119994938373566
1772697800160422700,0.190422607421875,-0.008186024613678455,-0.11551860719919205,-0.10128321498632431
1772697800170470700,0.200470703125,-0.015271098352968693,-0.14383333921432495,-0.1076713353395462
1772697800180519700,0.210519775390625,-0.02281317114830017,-0.1637393981218338,-0.11146580427885056
1772697800190568700,0.220568603515625,-0.015392005443572998,-0.17540962994098663,-0.10881756246089935
1772697800200616700,0.23061669921875,-0.01895265281200409,-0.17473745346069336,-0.11239898204803467
1772697800210665700,0.240665771484375,-0.02113085240125656,-0.17746347188949585,-0.11802677065134048
1772697800220713700,0.250713623046875,-0.005047755315899849,-0.18860533833503723,-0.12647219002246857
1772697800230762800,0.2607626953125,0.024685904383659363,-0.18912038207054138,-0.11970856040716171
1772697800240811500,0.2708115234375,0.08791440725326538,-0.22838257253170013,-0.12143481522798538
1772697800250859800,0.28085986328125,0.05005064979195595,-0.24493305385112762,-0.12342846393585205
