window_idx,accel_corr_xy,accel_corr_xz,accel_corr_yz,accel_mag_mean,accel_mag_std,accel_sma,accel_x_dom_freq,accel_x_fft_0,accel_x_fft_1,accel_x_fft_2,accel_x_fft_3,accel_x_fft_4,accel_x_max,accel_x_mean,accel_x_min,accel_x_range,accel_x_spectral_energy,accel_x_std,accel_x_var,accel_y_dom_freq,accel_y_fft_0,accel_y_fft_1,accel_y_fft_2,accel_y_fft_3,accel_y_fft_4,accel_y_max,accel_y_mean,accel_y_min,accel_y_range,accel_y_spectral_energy,accel_y_std,accel_y_var,accel_z_dom_freq,accel_z_fft_0,accel_z_fft_1,accel_z_fft_2,accel_z_fft_3,accel_z_fft_4,accel_z_max,accel_z_mean,accel_z_min,accel_z_range,accel_z_spectral_energy,accel_z_std,accel_z_var,gyro_corr_xy,gyro_corr_xz,gyro_corr_yz,gyro_mag_mean,gyro_mag_std,gyro_sma,gyro_x_dom_freq,gyro_x_fft_0,gyro_x_fft_1,gyro_x_fft_2,gyro_x_fft_3,gyro_x_fft_4,gyro_x_max,gyro_x_mean,gyro_x_min,gyro_x_range,gyro_x_spectral_energy,gyro_x_std,gyro_x_var,gyro_y_dom_freq,gyro_y_fft_0,gyro_y_fft_1,gyro_y_fft_2,gyro_y_fft_3,gyro_y_fft_4,gyro_y_max,gyro_y_mean,gyro_y_min,gyro_y_range,gyro_y_spectral_energy,gyro_y_std,gyro_y_var,gyro_z_dom_freq,gyro_z_fft_0,gyro_z_fft_1,gyro_z_fft_2,gyro_z_fft_3,gyro_z_fft_4,gyro_z_max,gyro_z_mean,gyro_z_min,gyro_z_range,gyro_z_spectral_energy,gyro_z_std,gyro_z_var
0,0.35814802351094094,-0.8083062147906278,-0.3891227307497522,7.985767816844249,7.272024303474278,11.21243409326425,4.0,467.7687330411992,280.32753990793395,267.5960954791241,195.9553296904168,193.8575921326299,25.859288,0.9633530673575128,-5.576096,31.435384,603630.185798029,5.527643362214805,30.5548411398374,7.0,87.55626117013853,72.513435,64.01006214967255,54.78489976965925,52.65905986283137,5.624695,0.37571727979274605,-2.362804,7.987499,38251.92516420878,1.330986159273367,1.7715241561772685,4.0,865.1280337899901,466.4400534198597,377.0804882994903,332.08083818216045,286.6263631995906,18.347682,-0.10238870984455958,-26.810233,45.157915,1550809.7259896644,9.1240760487967,83.24876374422561,-0.6191948457967408,-0.035233866109480656,0.06718758818100738,1.2659336078652947,0.9221891162137914,1.8430625958549223,2.0,60.81503927467708,44.808099999999996,32.355249184742725,31.212232900259128,30.64395738127167,1.962124,0.23216632124352332,-1.508191,3.4703150000000003,12057.894582704554,0.7345902618504505,0.5396228528055134,2.0,127.5789506829659,62.94291265754734,58.24442786366141,36.851944069708836,32.04955699999999,3.694315,-0.16605988082901552,-2.725906,6.420221,32861.11592130419,1.3073833382177866,1.7092511930494834,6.0,25.166796782631174,22.170213142432203,19.727805999999994,12.462965815569104,9.902080804257883,0.997243,-0.10221661139896374,-0.841369,1.838612,2479.2235900127966,0.33499447658794984,0.11222129934443448
1,0.24046290678309742,-0.8558905702999065,-0.27483792846574506,10.854412083822208,7.421924334285045,15.247918321608038,4.0,718.1843564576191,318.6673962416136,211.39265281286984,210.737721969891,207.5125938728004,25.859288,0.7992261005025124,-7.774002,33.63329,949430.9797059583,6.831735707619325,46.672612778760914,0.0,67.41312700000002,65.52517792538633,62.33165767344966,57.876473292494296,57.85505037236057,5.624695,0.338759432160804,-6.342366,11.967061000000001,44796.33015379093,1.4258046342223691,2.032918854969984,4.0,1190.252060435833,614.0139684357891,466.4678733409245,315.66713465839564,303.15679873103096,19.523099,-0.06874407537688455,-26.810233,46.333332,2444349.281644281,11.11033054481483,123.4394448150454,-0.48795068914030437,-0.003535067601144019,0.0824210509058108,1.4745658739158056,0.7672106589472665,2.118454819095478,2.0,65.38900699955195,46.100451862471324,38.4719414160563,25.85098217650828,24.332298220509312,1.962124,0.090515608040201,-1.661841,3.623965,13639.8559222136,0.8200550313552515,0.6724902544510625,2.0,134.67786494040942,59.683763304075946,45.51188454160896,41.27741401330439,40.05559350458028,3.694315,0.057301537688442226,-3.65256,7.346875,38466.791658857845,1.3914632108226221,1.9361698670728011,4.0,22.978875984736177,21.051075552426035,16.6431179275344,16.027462999999997,14.534614712698307,0.877437,-0.08054001507537689,-0.955755,1.833192,2956.3113847491277,0.36923346902309506,0.13633335464682889
2,0.4079749906030242,-0.8561243544966172,-0.4723068383032587,10.719740303001132,6.809041761573257,15.117885442211056,4.0,632.7039674201453,358.56427050895087,288.34687060287604,181.2632458449484,169.02103711963784,22.653085,0.45452328140703513,-9.333972,31.987057,830455.9707393456,6.444247763048467,41.52832923155517,0.0,83.944147,80.95598127998184,69.83724600686264,65.3298821088974,55.32312292966425,6.436289,0.4218298844221105,-6.342366,12.778655,57559.94112296222,1.5972648725975767,2.551255073234153,4.0,1185.2739269396927,622.0161272145547,380.29658826756355,251.60861706290686,247.05613547867546,19.523099,-0.23587124120603017,-24.8997,44.422799,2314027.672382262,10.805375072744372,116.75613046268546,-0.4367673341168288,0.01738551349907065,0.21149817233359097,1.3656932912081594,0.6694907598686052,1.9919097638190955,6.0,62.42759541301009,43.3627262950877,41.97296381370216,31.406073026233802,30.44045010975221,1.641435,-0.09483259296482412,-2.085627,3.727062,14626.328507578417,0.8489556221418239,0.7207256483662112,2.0,77.42651923843576,60.47035497651614,53.58094422661991,51.453902004011226,44.67695962046307,2.961154,0.06642802512562815,-3.65256,6.613714,27981.60730909136,1.1850557367157288,1.4043570991228589,2.0,32.43310981715853,16.528931848637782,14.12777638795927,13.956031172964849,13.65829548356075,1.019547,-0.02755365829145728,-0.955755,1.9753020000000001,3476.8673417700456,0.41723876667392945,0.17408818841558174
3,0.6059020650874806,-0.8187885381544618,-0.4986685546147355,11.059395251318625,8.076307773540732,15.74360003517588,4.0,586.4724461641439,454.134891523578,330.4940609951008,290.00038213133,201.67002805690012,25.427605,0.3841510954773869,-9.333972,34.761577,908351.3759540316,6.751319865488416,45.58031992613852,4.0,140.41720470518794,104.17609494814734,91.8373623709741,84.31211763735136,74.80424062918854,13.586983,0.2569880703517588,-4.34845,17.935433,113680.78245712798,2.368425319524385,5.609438494164185,4.0,1190.2905520343704,682.2362276528323,319.8785100870425,302.85479595675235,300.85555922056164,15.156558,-0.7788501055276381,-45.092726,60.249284,2707520.0233740755,11.641605977621843,135.52698973820063,-0.2496782493714728,-0.13938897912879422,0.1668338355035775,1.5044788911024678,0.8288002241391377,2.171151422110553,6.0,42.64236018480192,41.930731293850464,39.355334203320936,38.724725022178944,35.1434700550309,2.016972,0.052231301507537686,-2.085627,4.102599,13680.03731890906,0.8279451398222687,0.685493154555316,4.0,94.51101324908682,81.46192874269748,57.51789956893145,52.45925999514226,39.84404863649147,2.961154,0.01574395979899496,-7.381746,10.3429,40117.562339226075,1.4232657256484702,2.025685325805666,8.0,32.07754590437311,28.506333089256287,20.38985082406718,18.04852934416236,17.600509126116933,1.078546,-0.018502984924623107,-1.350648,2.429194,4683.655234385527,0.48566420844711994,0.23586972336656759
4,0.3527860393993977,-0.8138956432166178,-0.12070146050876704,11.9928102787768,8.506399154827074,16.62554411557789,4.0,560.2895180652416,318.10815146495725,248.03133421094049,220.67353186637945,200.02536465352875,25.427605,-0.25652907035175876,-8.633019,34.060624000000004,760316.7892861506,6.1860985042605705,38.26781470441487,5.0,117.82428908477821,100.91794846488952,95.84159388200729,80.59850528063232,70.87760748633214,13.586983,0.28890815577889445,-4.34845,17.935433,100730.76231862803,2.2181948944771404,4.920388589884452,4.0,1268.927740502442,588.893740282954,547.7217561569532,451.8369290935335,445.2496920017137,19.267504,-0.6889381557788945,-45.092726,64.36023,3431855.4627607805,13.12913595027406,172.37421080077877,-0.05286423214081566,-0.08658555519058835,0.06199631077590595,1.6652658443008996,1.0486545843679447,2.3156157788944722,7.0,76.23753748566529,42.1266777923412,32.58964384835733,32.485955749924386,32.19530874003678,3.325865,0.030294834170854254,-2.12918,5.455045,15572.141850754082,0.8858044988692383,0.7846496102169824,4.0,145.6961935208455,61.021648807442226,58.699007884714064,50.6856601588323,50.14349511489888,3.234737,-0.12571822613065323,-7.381746,10.616482999999999,57661.78638430893,1.6972196905094015,2.8805546778528286,8.0,27.280292057989556,25.15477347727421,18.601324967861355,18.414203124478394,17.677432991109733,1.078546,0.048545894472361815,-1.350648,2.429194,3825.7716185866125,0.4341692391364056,0.18850292821228534
5,0.11713709110400743,-0.7920538936233845,-0.2388852127583946,11.269161015162412,7.962357251708362,15.470052989949748,4.0,578.8465090802233,228.15444090286715,178.26603019538405,177.62963687782837,171.75607228179194,25.34695,-0.022535849246231154,-7.086864,32.433814,617227.9548101322,5.5832932557389,31.17316357957948,3.0,124.30512226719229,78.70185190686593,75.27374640502447,73.8872304338663,54.189599234797214,8.390018,0.26122207035175876,-5.911441,14.301459,64045.57367202266,1.7601743580481697,3.098213770730286,4.0,1290.9784200106465,737.4948842164097,460.07522266067724,302.40248725750695,285.5080910719067,20.053847,0.14468487939698493,-42.82314,62.876987,3090088.0359580335,12.491279641826656,156.0320670903131,-0.1702387595858554,0.06343289021313947,0.13886895020817586,1.5600871370458211,1.0186395015312097,2.2102822211055275,6.0,69.91237448740002,45.79057982360134,38.863492568841615,34.54070252746883,34.42061505366219,3.325865,-0.09387553768844219,-2.12918,5.455045,16354.29927639449,0.8990796617901893,0.8083442382447612,4.0,106.96670124159859,64.06675561655825,60.73974378032258,58.79685844232557,54.41427358169333,5.190664,0.11279419095477393,-4.714309,9.904973,48929.69264959365,1.5638937940169009,2.4457637989645766,3.0,33.4019086706538,21.78662858833623,19.85485936265351,19.165712786442445,17.517006000000002,0.853272,0.08802515577889448,-1.455817,2.309089,4031.223407698783,0.43371269050709754,0.1881066979069054
6,0.472177373935336,-0.8142555812088805,-0.6875526202324338,9.255269733153161,7.354808375278654,12.985781718592964,4.0,518.7566158215835,238.28444560478124,194.90176330597225,175.8216145681092,154.12099575333903,25.34695,0.09904971859296481,-7.222814,32.569764,547518.3791372043,5.256720840207876,27.633113991875796,4.0,104.73691682962377,74.38331123033902,71.58823210702492,61.84185413073955,60.17568818715186,8.390018,-0.0759208090452261,-5.911441,14.301459,63376.20678889688,1.7858414508389389,3.1892296875345263,4.0,1038.406944318046,501.01307967767826,456.1066471401123,323.0555509250271,278.8212689067896,20.053847,1.0277929095477387,-42.82314,62.876987,2177479.9893293018,10.38551622742768,107.85894731016367,-0.30853981230063626,-0.21237610951640237,0.22197328535667224,1.2988976718309586,0.802894473695553,1.9331293668341707,2.0,54.024738621508064,48.902722923754816,45.43236223513893,36.203768149475316,30.54901027022116,2.27647,-0.07008090954773868,-2.99332,5.26979,14354.891514039353,0.8457032830479745,0.7152140429581224,10.0,57.26471570258543,52.361838000000006,44.72800600812793,43.14052455684434,41.36165940181847,5.190664,0.26312481407035176,-2.709105,7.899769,27153.966083330757,1.1103644466897813,1.2329092044727044,3.0,40.620602060067434,29.827686021995216,29.126701218264728,27.848034784085904,22.933438292505002,1.658447,0.03081431658291458,-1.455817,3.114264,6147.1382508822935,0.5554781063001939,0.3085559265788495
