window_idx,accel_corr_xy,accel_corr_xz,accel_corr_yz,accel_mag_mean,accel_mag_std,accel_sma,accel_x_dom_freq,accel_x_fft_0,accel_x_fft_1,accel_x_fft_2,accel_x_fft_3,accel_x_fft_4,accel_x_max,accel_x_mean,accel_x_min,accel_x_range,accel_x_spectral_energy,accel_x_std,accel_x_var,accel_y_dom_freq,accel_y_fft_0,accel_y_fft_1,accel_y_fft_2,accel_y_fft_3,accel_y_fft_4,accel_y_max,accel_y_mean,accel_y_min,accel_y_range,accel_y_spectral_energy,accel_y_std,accel_y_var,accel_z_dom_freq,accel_z_fft_0,accel_z_fft_1,accel_z_fft_2,accel_z_fft_3,accel_z_fft_4,accel_z_max,accel_z_mean,accel_z_min,accel_z_range,accel_z_spectral_energy,accel_z_std,accel_z_var,gyro_corr_xy,gyro_corr_xz,gyro_corr_yz,gyro_mag_mean,gyro_mag_std,gyro_sma,gyro_x_dom_freq,gyro_x_fft_0,gyro_x_fft_1,gyro_x_fft_2,gyro_x_fft_3,gyro_x_fft_4,gyro_x_max,gyro_x_mean,gyro_x_min,gyro_x_range,gyro_x_spectral_energy,gyro_x_std,gyro_x_var,gyro_y_dom_freq,gyro_y_fft_0,gyro_y_fft_1,gyro_y_fft_2,gyro_y_fft_3,gyro_y_fft_4,gyro_y_max,gyro_y_mean,gyro_y_min,gyro_y_range,gyro_y_spectral_energy,gyro_y_std,gyro_y_var,gyro_z_dom_freq,gyro_z_fft_0,gyro_z_fft_1,gyro_z_fft_2,gyro_z_fft_3,gyro_z_fft_4,gyro_z_max,gyro_z_mean,gyro_z_min,gyro_z_range,gyro_z_spectral_energy,gyro_z_std,gyro_z_var
0,0.021762166952195253,-0.12000353182973246,0.021717870423211855,0.9972628863904817,0.6191417138179952,1.4711337968749998,10.0,40.721597260153224,40.39992025324297,37.949438145106086,35.894574149356686,26.189466605032283,3.274241,-0.008835979166666666,-2.367858,5.642099,10731.959872024661,0.7629512488799454,0.5820946081674684,1.0,38.65766568578586,23.792573787987905,23.228346889919067,16.906595347089933,16.357194360142532,1.377937,0.06217455208333331,-1.387289,2.765226,4967.0988964712815,0.5116214030865167,0.26175646009621606,2.0,50.244886051785016,46.65825356492192,41.6468794666317,35.348027,20.28483788417382,1.604866,-0.18410430729166669,-1.442967,3.047833,10394.925077916469,0.7044008181992222,0.4961805126797337,0.542148907024407,0.29255010075011056,0.3906685342529993,0.5021418923124702,0.2634803263493875,0.7506066302083333,0.0,51.181208999999996,42.72845387429932,12.85935250760987,10.61193991034095,9.579281759108003,0.927922,0.26656879687499996,-0.485925,1.413847,4997.307357190837,0.359170997375779,0.12900380535591185,0.0,33.347474,20.202128490748617,9.172100031692139,8.989597592627318,7.676993252461736,0.694062,0.17368476041666667,-0.424784,1.118846,2055.1221875520314,0.22619885321653124,0.05116592119647385,2.0,13.784340563351874,11.889493963619774,11.855783512554698,7.039414672450829,6.809419444597711,0.406546,-0.0058063333333333396,-0.646208,1.052754,741.0583258662319,0.20034870316721473,0.04013960286078472
1,0.054138116680278583,-0.24404678556403656,0.22994657123195444,1.2746009890368994,0.6510685873253532,1.8752585075376884,9.0,49.59339450857617,44.93574881872201,40.602154624649636,40.074037784537815,32.320687871598494,3.274241,-0.020044748743718605,-2.367858,5.642099,14665.769984710154,0.8601631645968125,0.7398806697292032,2.0,42.591160324794245,33.90574130800305,33.626674563946814,26.10933443929463,23.291979732654323,2.202573,0.06790448241206029,-1.387289,3.589862,8537.515809739814,0.6495934389671777,0.4219716359492044,2.0,89.68975732146168,42.36374154941226,34.14548962433227,33.96492361466054,30.86776177173359,2.146486,-0.1051951658291457,-2.274199,4.420685,17675.462847492618,0.9330417179202629,0.8705668473795954,0.6727969752607719,0.14716287369346626,0.2372038697730191,0.595208724668528,0.233158079002094,0.9085245075376882,1.0,54.83852276503243,25.420446000000005,17.766176820973957,12.169303823688958,11.16247555101481,1.044075,0.12774093467336683,-0.984588,2.028663,4915.889513487571,0.464367175515055,0.2156368736958299,1.0,33.98385021972841,15.373528748378492,12.681026000000003,12.134958362194315,9.84671073822644,0.692705,0.06372374874371858,-0.671681,1.364386,2364.054161350839,0.33357536731134946,0.1112725256769017,3.0,18.628567783369565,17.184587344253153,15.633162922876608,7.413220118011533,7.269504798618044,0.407024,-0.001800366834170848,-0.646208,1.053232,1214.7759366499145,0.24767925324264706,0.06134501248683529
2,0.08771634430988715,-0.1073739165034494,0.04458183539985917,1.3188651620348626,0.7815892479895635,1.940986095477387,11.0,44.84443333253259,44.29477479188909,40.86830090121836,40.61228880212694,40.56249892004171,4.03329,0.013655638190954777,-3.011211,7.044501,18754.407202409177,0.9730400355620331,0.9468069108065627,1.0,40.06345373136211,29.276953114721632,23.324649955465034,23.008938999350477,22.827706896441963,2.202573,0.021099874371859284,-1.640527,3.8431,8127.339343524994,0.6399788812133607,0.40957296839910484,2.0,104.48426181282355,41.009038281147475,33.03604729538626,30.850058551797517,26.07392415236486,2.315949,-0.023322552763819088,-2.274199,4.590147999999999,19677.95304266476,0.9963591553130511,0.9927315663761367,0.4363318714759636,0.018637429989027683,0.36688788154548935,0.7174617662525692,0.27901535107785863,1.0538092864321609,1.0,64.10352542228645,29.929213011252227,22.949337,17.468815160087786,14.810932453786544,1.099932,0.11532330150753772,-1.124771,2.224703,6974.1680039424655,0.5706345674948018,0.3256238096199795,1.0,43.463746375141234,20.785097456851958,16.079524937600162,15.105958490472531,14.111773095438268,1.207284,-0.030680165829145737,-1.209468,2.416752,4079.427255439052,0.451824133221305,0.20414504736118358,1.0,19.61667702952261,10.842546170749639,9.753186654707203,8.876545221354291,6.431262534071498,0.407024,0.006017055276381914,-0.574638,0.981662,962.7602519553504,0.22035234010577792,0.048555153790092426
3,0.19313384618342222,0.0033994964565571746,-0.08612607980081924,1.320205277515282,0.798094205868576,1.9045098643216078,13.0,53.85022594907984,49.68572965843658,40.63516808520479,40.49531964435175,38.486569713187414,4.03329,0.01757255778894472,-3.011211,7.044501,17739.671735813095,0.9462058792805406,0.895305565985061,8.0,46.17625481227585,44.37503454531376,34.939534276495294,28.712334547575633,28.066258317650973,2.939941,0.025116005025125628,-1.640527,4.580468,10832.83800348042,0.7388149160519427,0.5458474801808392,2.0,100.50442511854075,39.3961399948986,31.647156524546162,30.559186531034378,29.808079144674366,2.315949,0.007404849246231177,-1.871885,4.187834,18569.68807754101,0.9683743334920999,0.9377488497662686,0.376463293093003,-0.3550617583513735,0.1368957650324347,0.7730579416010855,0.27019715850699905,1.11777083919598,1.0,77.75799714098974,16.1234662321422,14.106094898536007,12.12132828415448,11.904627999999999,1.099932,-0.05982225125628149,-1.124771,2.224703,7569.500065656075,0.6124793616246,0.3751309684160776,1.0,46.275748173306795,28.070152003548685,19.312404082344525,15.13239546759951,12.887268,1.207284,-0.06476014070351759,-1.209468,2.416752,4848.236784558162,0.4862791938128514,0.2364674543352767,1.0,20.85213986110992,10.5367613277923,8.624025350445342,7.06300299773609,7.012265338651853,0.601114,0.019262758793969843,-0.563442,1.1645560000000001,1022.2019074466461,0.2255726741889315,0.05088303134074584
4,0.16252825296432685,-0.01669777728436189,-0.023328702417887922,1.2944617569418069,0.7436988228450421,1.8455918492462313,13.0,49.18544336874946,39.7324178612992,36.1398459273047,33.129127562363664,30.603470929557812,4.013756,-0.008140844221105508,-2.050191,6.063947,13543.422400413194,0.8269620794654432,0.6838662808738101,5.0,41.550632480226795,37.905788948845476,33.160913678841844,31.56865606243925,28.79106639255397,2.939941,0.014092487437185908,-1.870465,4.810406,10201.220784913005,0.7175000237374805,0.514806284063285,2.0,97.98522752889005,54.02508452595888,37.926090001974785,34.23101949933346,27.732612056228408,2.629936,0.033598587939698485,-1.871885,4.501821,20412.44855218462,1.014225259836558,1.0286528776905337,0.4041886786224828,-0.2104173681148689,0.21683132828505564,0.695048245566507,0.27315601122532285,1.02019583919598,1.0,68.17153482223318,21.602594000000003,16.488200794481816,13.37406067869772,13.300535971047918,0.901246,-0.10855574874371858,-1.107365,2.008611,6345.423595822275,0.5448851329306033,0.2968998080888012,1.0,38.000240930908106,29.696408969698055,20.002129031507753,14.228721051423898,12.76436281497742,0.985066,-0.03223750251256282,-1.075055,2.060121,3918.1322869883434,0.44249549450036707,0.19580226265312436,1.0,17.874693228278417,17.26854798201035,8.001529494480332,7.471051980349536,6.439219302983727,0.601114,0.022838909547738692,-0.534019,1.1351330000000002,1043.4583699032203,0.22728611142961602,0.051658976448795836
5,-0.060164107305095034,0.08367386053397996,0.11663820079442239,1.0714248731843812,0.6944806133121725,1.56093891959799,6.0,43.239739893179795,34.01803187447209,33.00628370589282,28.29499055272784,27.90901730286642,4.013756,0.01542935175879399,-2.050191,6.063947,11059.674103499714,0.7470493337020186,0.55808270698463,1.0,33.167454550000805,25.385387963960863,23.226367195357117,21.124477153537114,18.769862631435025,1.430486,0.013441402010050245,-1.870465,3.300951,5588.508554574148,0.5309239989102617,0.2818802926188635,2.0,65.22631849084587,47.10349991457262,41.90762128074889,34.88991875986301,33.185140085781136,2.629936,0.14316963316582915,-1.687303,4.317239,16045.706845862924,0.877140411505817,0.769375301496594,0.22981944085563927,0.33777586150969724,0.3442399818186114,0.5682388721670214,0.26284519943732276,0.8310858492462311,1.0,41.806076203689464,35.94645938693877,13.445636397289233,11.46913576500162,11.249273422424302,0.901246,-0.042928160804020066,-1.06934,1.970586,4115.857357487025,0.45186658210982183,0.20418340802761234,1.0,25.979557496847164,22.361707997361023,19.33810315497746,14.736402261250113,13.949707406298362,0.985066,-0.028200256281407043,-1.012953,1.998019,2837.086302479174,0.37642524940469463,0.14169596838938656,2.0,17.166116278762217,13.580553292643728,13.078841000000002,8.891408502498134,6.66156479343867,0.395554,-0.06572281909547739,-0.534019,0.929573,946.1607835509368,0.1978536527276812,0.03914606789768587
