time,seconds_elapsed,x,y,z
1772697810897553700,0.068554,0.025157,0.119113,0.096593
1772697810907601700,0.078602,0.022607,0.129755,0.100224
1772697810917650400,0.088650,0.007741,0.126180,0.097107
1772697810927698200,0.098698,-0.005178,0.109133,0.092199
1772697810937747200,0.108747,-0.016858,0.090279,0.085426
1772697810947796200,0.118796,-0.016809,0.073197,0.077881
1772697810957844200,0.128844,-0.002480,0.061558,0.073566
1772697810967893200,0.138893,0.013724,0.058118,0.062282
1772697810977941200,0.148941,0.022746,0.051634,0.057126
1772697810987990000,0.158990,0.024545,0.044452,0.056508
1772697810998039300,0.169039,0.026602,0.046111,0.061605
1772697811008087000,0.179087,0.025373,0.048042,0.066545
1772697811018136300,0.189136,0.022951,0.050993,0.064620
1772697811028184000,0.199184,0.017268,0.041346,0.068934
1772697811038233300,0.209233,0.006784,0.032269,0.071432
1772697811048282000,0.219282,0.000696,0.021985,0.074247
1772697811058330400,0.229330,0.000003,0.021673,0.073462
1772697811068379100,0.239379,0.011175,0.049059,0.078951
1772697811078427400,0.249427,0.030793,0.079794,0.081340
1772697811088476200,0.259476,0.046593,0.083480,0.087956
1772697811098525200,0.269525,0.043760,0.076857,0.092689
1772697811108573200,0.279573,0.031910,0.082935,0.098568
1772697811118622200,0.289622,0.023425,0.088126,0.106877
1772697811128671200,0.299671,0.022893,0.095219,0.118940
1772697811138719200,0.309719,0.025349,0.118878,0.123850
1772697811148768300,0.319768,0.029772,0.136315,0.124885
1772697811158816300,0.329816,0.037939,0.141224,0.129055
1772697811168865300,0.339865,0.031517,0.138295,0.133392
1772697811178914300,0.349914,0.012639,0.122405,0.133692
1772697811188962300,0.359962,-0.016837,0.108025,0.143045
1772697811199011300,0.370011,-0.040252,0.118184,0.151255
1772697811209059300,0.380059,-0.066471,0.134569,0.157882
1772697811219108400,0.390108,-0.091545,0.139078,0.159620
1772697811229157000,0.400157,-0.107401,0.121236,0.167254
1772697811239205400,0.410205,-0.126140,0.073153,0.167924
1772697811249254100,0.420254,-0.165896,-0.005008,0.169944
1772697811259302100,0.430302,-0.211866,-0.073953,0.156192
1772697811269351200,0.440351,-0.252311,-0.120103,0.154252
1772697811279400400,0.450400,-0.273765,-0.138501,0.161037
1772697811289448200,0.460448,-0.298405,-0.136679,0.165146
1772697811299497200,0.470497,-0.320112,-0.126038,0.177688
1772697811309546200,0.480546,-0.329819,-0.089865,0.194553
1772697811319594200,0.490594,-0.321095,-0.008270,0.222134
1772697811329643300,0.500643,-0.290668,0.100416,0.240881
1772697811339691300,0.510691,-0.266649,0.195637,0.240598
1772697811349740300,0.520740,-0.268162,0.208724,0.236493
1772697811359789000,0.530789,-0.297563,0.176437,0.241338
1772697811369837300,0.540837,-0.314499,0.148361,0.252536
1772697811379886000,0.550886,-0.308080,0.148183,0.266665
1772697811389934300,0.560934,-0.288093,0.145894,0.268168
