time,seconds_elapsed,x,y,z
1772697812836934700,2.007935,-0.110136,0.646889,-0.605642
1772697812846983400,2.017983,-0.455524,0.534834,-0.392395
1772697812857032400,2.028032,-0.748159,0.381122,-0.241926
1772697812867080400,2.038081,-0.881511,0.231578,-0.137234
1772697812877129500,2.048129,-0.949598,0.159884,-0.053053
1772697812887177500,2.058177,-0.877839,0.101363,0.122959
1772697812897226500,2.068227,-0.771206,0.087015,0.400406
1772697812907275500,2.078276,-0.687052,0.098966,0.579084
1772697812917323500,2.088323,-0.556340,0.179268,0.638851
1772697812927372500,2.098373,-0.362785,0.315737,0.680409
1772697812937420500,2.108421,-0.225390,0.483343,0.586138
1772697812947469800,2.118470,-0.149808,0.520632,0.297878
1772697812957518600,2.128519,-0.119192,0.495571,0.187790
1772697812967566800,2.138567,0.028473,0.404478,0.292153
1772697812977615600,2.148616,0.132656,0.196850,0.431922
1772697812987664600,2.158665,0.131305,0.077849,0.583213
1772697812997712600,2.168713,0.072701,-0.011898,0.719114
1772697813007761700,2.178762,0.208010,-0.168549,0.786350
1772697813017809700,2.188810,0.244796,-0.194554,0.833275
1772697813027858700,2.198859,0.249455,-0.109221,0.736846
1772697813037907700,2.208908,0.165481,0.052693,0.550935
1772697813047955500,2.218956,0.049642,0.240952,0.379023
1772697813058004700,2.229005,-0.028393,0.427882,0.280587
1772697813068052500,2.239052,-0.158419,0.599567,0.165492
1772697813078101800,2.249102,-0.286166,0.745743,0.150148
1772697813088150500,2.259151,-0.461013,0.869610,0.114180
1772697813098198500,2.269198,-0.586599,0.996935,0.124507
1772697813108247600,2.279248,-0.742793,0.990589,0.193826
1772697813118295600,2.289296,-0.774228,1.001605,0.297721
1772697813128344600,2.299344,-0.835308,0.958367,0.316716
1772697813138393600,2.309394,-0.857301,0.827272,0.296096
1772697813148441600,2.319442,-0.908641,0.706967,0.220436
1772697813158490600,2.329491,-0.890516,0.651839,0.094356
1772697813168538600,2.339539,-0.848162,0.577695,0.012465
1772697813178587600,2.349588,-0.824347,0.490259,-0.106837
1772697813188636400,2.359636,-0.704348,0.390237,-0.228911
1772697813198684700,2.369685,-0.543231,0.244762,-0.307775
1772697813208733400,2.379733,-0.401848,0.061108,-0.366971
1772697813218782700,2.389783,-0.316246,-0.071768,-0.345218
1772697813228830500,2.399831,-0.369172,-0.141297,-0.316606
1772697813238879700,2.409880,-0.463734,-0.205193,-0.279873
1772697813248927500,2.419927,-0.505825,-0.211340,-0.261906
1772697813258976800,2.429977,-0.545381,-0.174679,-0.282384
1772697813269025500,2.440026,-0.634762,-0.166605,-0.237302
1772697813279073800,2.450074,-0.669949,-0.212420,-0.147800
1772697813289122600,2.460123,-0.641455,-0.310968,-0.117157
1772697813299170800,2.470171,-0.481726,-0.429644,-0.150375
1772697813309219600,2.480219,-0.223279,-0.501983,-0.238434
1772697813319268600,2.490269,-0.102900,-0.541607,-0.340698
1772697813329316600,2.500317,-0.071838,-0.591515,-0.428231
1772697813339365600,2.510366,-0.029203,-0.617494,-0.512159
1772697813349414700,2.520415,0.050931,-0.602301,-0.587742
