time,seconds_elapsed,z,y,x
1772701791930073900,0.067073974609375,0.3030143940478563,-0.22924568574279544,-0.1250906070023775
1772701791940123100,0.077123046875,0.25801322280466554,-0.2500111181348562,-0.18098551270365715
1772701791950172000,0.087171875,0.13970540781021118,-0.22892244513779877,-0.1551280178695917
1772701791960220200,0.09722021484375,0.04066168073415756,-0.14218553418815136,-0.13984101688861847
1772701791970269000,0.10726904296875,-0.015519056171178817,-0.03853548236042261,-0.13290098849236964
1772701791980318000,0.11731787109375,-0.098164606153965,-0.020799042400717734,-0.14426701663732527
1772701791990366000,0.127365966796875,-0.1748731673032045,-0.04060702793747186,-0.03359364204406738
1772701792000415000,0.1374150390625,-0.05807867948114872,-0.013987316559255123,0.16675123564600944
1772701792010464000,0.147464111328125,0.09222937088608742,-0.02095043357014656,0.2073351749688387
1772701792020512000,0.157511962890625,0.1401139886111021,-0.014644319163262844,0.14418226096332074
1772701792030561000,0.16756103515625,0.17517711868584154,0.06640753188729286,0.12301496977210044
1772701792040610000,0.177610107421875,0.1536170287847519,0.08388678221553564,0.0734469290047884
1772701792050658800,0.187658935546875,0.07477671630382537,0.07318710902482271,-0.012798691296577453
1772701792060707000,0.19770703125,-0.016921908706426618,0.05632014537602663,-0.09824410113096237
1772701792070755800,0.207755859375,-0.05492226127684116,0.0651812049627304,-0.10339841515421867
1772701792080805000,0.21780517578125,-0.1293733988881111,0.062355626147985455,-0.13765607406497002
1772701792090852900,0.227852783203125,-0.17037059518694878,0.020217735381424427,-0.1290069036632776
1772701792100902100,0.237902099609375,-0.1446668296098709,-0.0670984367609024,-0.05206044210493564
1772701792110951000,0.247950927734375,-0.029547581523656843,-0.08239157522171735,0.007253332129120826
1772701792120999200,0.257999267578125,0.024817045870423316,-0.048455695611238477,-0.0017810381978750228
1772701792131048000,0.2680478515625,0.029034371304512023,-0.03651011401265859,-0.07792085954844952
1772701792141097000,0.278096923828125,0.005842880809307098,-0.03232669084817171,-0.14749650007784365
1772701792151146000,0.28814599609375,-0.04109422693252563,-0.059226680472493166,-0.08894844951927662
1772701792161194000,0.298194091796875,-0.0593254646718502,-0.06674100162535905,-0.07545885334908962
1772701792171243000,0.308242919921875,-0.052068625411391255,-0.08054390152841806,-0.07791326076388358
1772701792181292000,0.3182919921875,-0.018956044882535935,-0.13282324708104132,-0.08730769657492637
1772701792191340000,0.328340087890625,0.04508943404853344,-0.18399521591365336,-0.08343523905575274
1772701792201389000,0.33838916015625,0.038028994143009184,-0.1678250023573637,-0.1249339551359415
1772701792211437800,0.348437744140625,0.038545711493492125,-0.12753332397937775,-0.09629238254129886
1772701792221487000,0.358487060546875,-0.030194647255539893,-0.04906505968123674,-0.08777823669612407
1772701792231534800,0.368534912109375,-0.12250760477185249,0.049259120948612685,-0.1186333936870098
1772701792241584000,0.378584228515625,-0.16364450180232523,0.06780541598647832,-0.15723872641324996
1772701792251633000,0.3886328125,-0.11984686112999915,0.06708148562610149,-0.16904314597547054
1772701792261681200,0.39868115234375,-0.13067279104888438,0.11295622483342885,-0.13591887500882147
1772701792271730000,0.40872998046875,-0.11157879900038242,0.10305471628308295,-0.06448036321699618
1772701792281779000,0.418779052734375,-0.02229015774130821,0.05982961480170488,-0.001513327172398567
1772701792291827000,0.428826904296875,0.07176350596249104,0.028387597833573818,-0.014355857610702514
1772701792301876000,0.4388759765625,0.08924363307356833,0.04808920038640499,-0.06243102947175502
1772701792311925000,0.448925048828125,0.01953998225033283,0.05050912100970745,-0.07414893979430198
1772701792321974000,0.45897412109375,-0.020350714111328123,-0.018908406348526478,-0.01816927841901779
1772701792332022000,0.46902197265625,-0.016772271102666853,-0.10625000519305466,-0.02000935332775116
1772701792342071000,0.479071044921875,-0.08146306219995021,-0.17175211267322302,-0.06910159327685833
1772701792352119800,0.489119873046875,-0.12711714439392088,-0.14862024341076613,-0.07611527143120765
1772701792362168000,0.49916796875,-0.040649990296363826,-0.25591712730824945,-0.14557576114833354
1772701792372216800,0.509216796875,-0.04165945959985256,-0.42729660727679725,-0.1829787323474884
1772701792382266000,0.51926611328125,-0.012855974441766739,-0.5891930963680148,-0.11921908462047576
1772701792392313900,0.52931396484375,0.09368716847896576,-0.551195081885159,-0.112006669023633
1772701792402363100,0.539363037109375,0.19645429999232292,-0.13867723380625246,-0.08084756065011024
1772701792412412000,0.549411865234375,0.3446294299840927,0.18851503142565487,-0.31101825228333474
