time,seconds_elapsed,x,y,z
1772701796863994000,5.000994,-0.315426,-1.323151,0.066326
1772701796874042000,5.011042,0.000037,-1.418601,0.038998
1772701796884091100,5.021091,0.319655,-1.290369,-0.038302
1772701796894140000,5.031140,0.548056,-0.960474,-0.104663
1772701796904188200,5.041188,0.681089,-0.648540,-0.135418
1772701796914237000,5.051237,0.754829,-0.467616,-0.121626
1772701796924286200,5.061286,0.806413,-0.453241,-0.118487
1772701796934335200,5.071335,0.838175,-0.552625,-0.128314
1772701796944383200,5.081383,0.862414,-0.721519,-0.180336
1772701796954432000,5.091432,0.871899,-0.864639,-0.238121
1772701796964481000,5.101481,0.894316,-0.881622,-0.290049
1772701796974530300,5.111530,0.918334,-0.818680,-0.299290
1772701796984578000,5.121578,0.923900,-0.759877,-0.273013
1772701796994627300,5.131627,0.898199,-0.600716,-0.239322
1772701797004676000,5.141676,0.826244,-0.404486,-0.241407
1772701797014724000,5.151724,0.709315,-0.243268,-0.254435
1772701797024773000,5.161773,0.576525,-0.104998,-0.238630
1772701797034822100,5.171822,0.456351,0.130877,-0.183398
1772701797044871200,5.181871,0.329735,0.403058,-0.125686
1772701797054919000,5.191919,0.213101,0.674696,-0.089790
1772701797064968200,5.201968,0.135392,0.856812,-0.082477
1772701797075017200,5.212017,0.086870,1.035497,-0.074999
1772701797085066000,5.222066,0.058561,1.266676,-0.058529
1772701797095114200,5.232114,0.051820,1.568932,-0.067643
1772701797105163000,5.242163,0.078799,1.895241,-0.111267
1772701797115212300,5.252212,0.094835,2.052530,-0.211048
1772701797125260000,5.262260,0.113093,1.997689,-0.322749
1772701797135309300,5.272309,0.109119,1.817187,-0.405278
1772701797145358000,5.282358,0.102556,1.644019,-0.455973
1772701797155407000,5.292407,0.085801,1.395194,-0.504316
1772701797165455000,5.302455,0.007585,0.998098,-0.542750
1772701797175504100,5.312504,-0.073440,0.783810,-0.478253
1772701797185553200,5.322553,-0.182445,0.779252,-0.362358
1772701797195602200,5.332602,-0.318277,0.782827,-0.365383
1772701797205650200,5.342650,-0.400020,0.805425,-0.406205
1772701797215699200,5.352699,-0.457901,0.813950,-0.446551
1772701797225747700,5.362748,-0.455456,0.786683,-0.472316
1772701797235796000,5.372796,-0.438232,0.748043,-0.487435
1772701797245844700,5.382845,-0.421011,0.707731,-0.486114
1772701797255894000,5.392894,-0.436400,0.647667,-0.466339
1772701797265942800,5.402943,-0.462064,0.547923,-0.417819
1772701797275991000,5.412991,-0.433627,0.371756,-0.363982
1772701797286039800,5.423040,-0.338092,0.041997,-0.377796
1772701797296088800,5.433089,-0.231752,-0.369675,-0.433151
1772701797306137900,5.443138,-0.191847,-0.763616,-0.506601
1772701797316185900,5.453186,-0.212416,-1.079544,-0.577352
1772701797326235000,5.463235,-0.194809,-1.249687,-0.626087
1772701797336284000,5.473284,-0.159711,-1.332869,-0.657936
1772701797346332000,5.483332,-0.144707,-1.474425,-0.684671
1772701797356381000,5.493381,-0.176488,-1.581104,-0.667737
1772701797366429700,5.503430,-0.184046,-1.190606,-0.479122
1772701797376479000,5.513479,-0.158273,0.022069,-0.232482
1772701797386526700,5.523527,-0.194549,0.939992,-0.241866
1772701797396576000,5.533576,-0.348271,0.910816,-0.448688
1772701797406624800,5.543625,-0.490923,0.330862,-0.384834
1772701797416673800,5.553674,-0.739072,0.373805,-0.288230
1772701797426721800,5.563722,-0.861351,0.721231,-0.087125
1772701797436770800,5.573771,-0.817480,1.069226,0.159543
1772701797446819800,5.583820,-0.623020,0.938248,0.270727
1772701797456868900,5.593869,-0.366364,0.667562,0.324768
1772701797466916900,5.603917,-0.079718,0.566738,0.325483
1772701797476966000,5.613966,0.156761,0.729696,0.333768
1772701797487014700,5.624015,0.320084,1.057453,0.380765
1772701797497063000,5.634063,0.437277,1.469254,0.460966
1772701797507111700,5.644112,0.458186,1.863358,0.536383
1772701797517161000,5.654161,0.344886,2.073451,0.572775
1772701797527209700,5.664210,0.094299,1.985160,0.574315
1772701797537258000,5.674258,-0.198245,1.574895,0.557282
1772701797547306800,5.684307,-0.419550,0.970858,0.517608
1772701797557355800,5.694356,-0.569391,0.318329,0.477536
1772701797567405000,5.704405,-0.677777,-0.160637,0.486325
1772701797577452800,5.714453,-0.760482,-0.322662,0.496016
1772701797587501800,5.724502,-0.752058,-0.267007,0.493700
1772701797597550800,5.734551,-0.635020,-0.123416,0.471718
1772701797607599900,5.744600,-0.456007,0.021594,0.439202
1772701797617647900,5.754648,-0.236498,0.116064,0.428985
1772701797627696600,5.764697,-0.011031,0.143504,0.417114
1772701797637746000,5.774746,0.189293,0.107435,0.410052
1772701797647795000,5.784795,0.314517,0.017493,0.444738
1772701797657843000,5.794843,0.373361,-0.036217,0.505955
1772701797667892000,5.804892,0.339534,-0.035392,0.548861
1772701797677940700,5.814941,0.229080,-0.041164,0.549206
1772701797687988700,5.824989,0.094088,-0.065849,0.505540
1772701797698037800,5.835038,-0.003760,-0.035275,0.444660
1772701797708087000,5.845087,-0.073829,0.083297,0.361057
1772701797718135800,5.855136,-0.124265,0.184526,0.280083
1772701797728184000,5.865184,-0.148080,0.233974,0.193296
1772701797738232800,5.875233,-0.158174,0.221451,0.122651
1772701797748281900,5.885282,-0.187993,0.141976,0.088599
1772701797758331000,5.895331,-0.234762,0.079605,0.094126
1772701797768379000,5.905379,-0.285520,0.085152,0.124619
1772701797778428000,5.915428,-0.310791,0.114719,0.152151
1772701797788477000,5.925477,-0.324100,0.137038,0.163356
1772701797798525000,5.935525,-0.298007,0.103420,0.170582
1772701797808574000,5.945574,-0.256683,-0.032054,0.210609
1772701797818622700,5.955623,-0.214644,-0.254420,0.275072
1772701797828672000,5.965672,-0.184439,-0.497848,0.350061
1772701797838719700,5.975720,-0.154834,-0.745320,0.399655
1772701797848769000,5.985769,-0.104768,-0.928936,0.410457
1772701797858817800,5.995818,-0.008538,-1.029929,0.369601
1772701797868866800,6.005867,0.170963,-1.104815,0.262072
1772701797878914800,6.015915,0.428963,-1.241971,0.097629
1772701797888963800,6.025964,0.761169,-1.426916,-0.094937
1772701797899012900,6.036013,1.051865,-1.564156,-0.266542
1772701797909062000,6.046062,1.148280,-1.495097,-0.410123
1772701797919110000,6.056110,1.114735,-1.254675,-0.478536
1772701797929159000,6.066159,1.058225,-0.932052,-0.530381
1772701797939207700,6.076208,1.013359,-0.823151,-0.567516
1772701797949257000,6.086257,0.980064,-0.976903,-0.589496
1772701797959304700,6.096305,1.006306,-1.165419,-0.618408
1772701797969354000,6.106354,1.045649,-1.520923,-0.607518
1772701797979402800,6.116403,1.019991,-1.458163,-0.512292
1772701797989451000,6.126451,1.011466,-0.894732,-0.357259
1772701797999499800,6.136500,0.928106,-0.856715,-0.206638
1772701798009548800,6.146549,0.726350,-1.349655,-0.050319
1772701798019597800,6.156598,0.444512,-1.871969,0.084537
1772701798029645800,6.166646,0.088595,-2.083806,0.247445
1772701798039694800,6.176695,-0.207422,-1.887698,0.389398
1772701798049744000,6.186744,-0.494969,-1.592692,0.526321
1772701798059792600,6.196793,-0.721399,-1.307445,0.661371
1772701798069841000,6.206841,-0.877690,-0.967062,0.757534
1772701798079889700,6.216890,-0.974094,-0.573748,0.782681
1772701798089939000,6.226939,-1.011326,-0.213484,0.738994
1772701798099988000,6.236988,-0.966324,0.047020,0.671554
1772701798110036000,6.247036,-0.830830,0.176421,0.597195
1772701798120084700,6.257085,-0.630369,0.184758,0.512827
1772701798130133800,6.267134,-0.380475,0.205091,0.403731
1772701798140183000,6.277183,-0.101704,0.320132,0.378592
1772701798150230800,6.287231,0.103056,0.448452,0.269987
1772701798160279800,6.297280,0.286389,0.598983,0.185683
1772701798170328800,6.307329,0.406356,0.716475,0.103016
1772701798180376800,6.317377,0.467351,0.886152,0.211003
1772701798190425900,6.327426,0.369500,0.729064,0.127954
1772701798200475000,6.337475,0.248773,0.392743,0.064013
1772701798210524000,6.347524,0.137337,0.191581,0.053451
1772701798220572400,6.357573,-0.029276,0.127431,0.018202
1772701798230621700,6.367622,-0.209106,0.150309,-0.002902
1772701798240670500,6.377670,-0.354982,0.195722,0.000964
1772701798250719500,6.387719,-0.450398,0.179388,0.023058
1772701798260767500,6.397768,-0.492841,0.112552,0.050693
