time,seconds_elapsed,x,y,z
1772701795869170200,4.006170,10.263649,-3.884670,-15.618266
1772701795879218200,4.016218,9.662681,-3.166199,-14.388405
1772701795889267200,4.026267,8.108465,-1.654909,-13.685317
1772701795899316000,4.036316,6.161330,-0.887914,-11.997701
1772701795909365200,4.046365,4.678087,-0.731598,-8.803692
1772701795919413000,4.056413,3.561682,-0.112988,-5.798171
1772701795929462300,4.066462,2.880451,0.960005,-3.593423
1772701795939511000,4.076511,2.154329,1.696386,-1.542818
1772701795949559300,4.086559,1.444143,2.112642,0.618234
1772701795959608000,4.096608,0.635603,2.567331,2.961627
1772701795969657000,4.106657,-0.226704,2.972185,5.141409
1772701795979706000,4.116706,-0.862981,3.094876,7.298453
1772701795989754000,4.126754,-1.806972,2.789340,9.264224
1772701795999803100,4.136803,-2.905066,2.238000,10.673073
1772701796009852200,4.146852,-3.780366,2.056002,11.746685
1772701796019901000,4.156901,-4.327195,1.897610,12.345708
1772701796029949200,4.166949,-4.733457,1.649086,12.671656
1772701796039998000,4.176998,-5.412672,1.380025,12.842741
1772701796050047200,4.187047,-5.944444,0.892157,12.962862
1772701796060095000,4.197095,-6.524136,0.648246,13.134425
1772701796070144300,4.207144,-7.090840,0.716410,13.277317
1772701796080193000,4.217193,-6.875092,0.852305,13.270453
1772701796090242000,4.227242,-6.808940,0.919364,13.294123
1772701796100290000,4.237290,-7.100440,0.971354,13.310571
1772701796110339000,4.247339,-7.123259,1.208761,12.838677
1772701796120388000,4.257388,-6.774726,1.384923,11.933879
1772701796130436000,4.267436,-6.671441,1.292581,10.744948
1772701796140485000,4.277485,-6.622045,0.940854,9.561363
1772701796150534100,4.287534,-6.637967,0.342012,8.600684
1772701796160583000,4.297583,-6.715505,-0.109375,7.936701
1772701796170631200,4.307631,-6.620083,-0.192277,7.668359
1772701796180680000,4.317680,-6.231777,-0.046776,7.762840
1772701796190729200,4.327729,-5.729111,-0.134879,7.985479
1772701796200778000,4.337778,-5.411448,-0.377269,8.093173
1772701796210826200,4.347826,-5.085391,-0.393216,7.953235
1772701796220875000,4.357875,-4.582033,-0.189448,7.378662
1772701796230924000,4.367924,-4.271010,-0.236725,6.249901
1772701796240972000,4.377972,-3.604143,-0.668663,4.927887
1772701796251021000,4.388021,-2.686702,-0.978678,3.531953
1772701796261070000,4.398070,-1.137936,-1.203059,2.125448
1772701796271119000,4.408119,1.248521,-1.544655,0.147132
1772701796281167000,4.418167,4.668072,-2.187639,-3.454746
1772701796291216100,4.428216,10.713885,-2.580185,-11.300468
1772701796301265000,4.438265,23.813735,0.731229,-23.936157
1772701796311314200,4.448314,35.124711,7.856735,-36.631842
1772701796321362000,4.458362,26.154378,10.188531,-34.698190
1772701796331411200,4.468411,17.252332,6.480401,-28.160102
1772701796341460200,4.478460,8.959924,2.436098,-22.908619
1772701796351508200,4.488508,2.538829,-2.081395,-17.806929
1772701796361557000,4.498557,-0.964551,-2.580814,-11.015813
1772701796371606000,4.508606,-3.102691,-1.685057,-5.784797
1772701796381655300,4.518655,-3.613179,-0.997211,-3.060378
1772701796391703000,4.528703,-2.692397,0.211469,-1.889338
1772701796401752300,4.538752,-1.497975,0.643366,-0.989601
1772701796411801000,4.548801,-1.102062,0.862526,0.323851
1772701796421850000,4.558850,-1.448222,1.185942,1.694635
1772701796431898000,4.568898,-2.281819,1.375543,2.977709
1772701796441947100,4.578947,-3.040657,1.465172,4.187145
1772701796451996200,4.588996,-3.898975,1.525762,5.101882
1772701796462044000,4.599044,-4.625759,1.610144,5.617321
1772701796472093200,4.609093,-5.153897,1.542931,5.705793
1772701796482142200,4.619142,-5.413610,1.079597,5.764481
1772701796492191000,4.629191,-5.555273,0.400733,5.926315
1772701796502239200,4.639239,-5.646996,-0.272456,6.019756
1772701796512288000,4.649288,-5.439330,-0.847659,5.936026
1772701796522337300,4.659337,-5.259535,-1.315562,5.839341
1772701796532385000,4.669385,-5.055145,-1.610467,5.632463
1772701796542434300,4.679434,-4.968777,-1.897579,5.339042
1772701796552483000,4.689483,-4.536372,-2.108778,4.759374
1772701796562532000,4.699532,-3.777328,-1.395774,3.775555
1772701796572580000,4.709580,-3.285212,-0.552835,3.156823
1772701796582629000,4.719629,-2.503579,-0.625713,2.484329
1772701796592678100,4.729678,-1.596511,-0.756111,1.834542
1772701796602727200,4.739727,-0.349224,-0.490817,1.562681
1772701796612775200,4.749775,1.631768,0.136082,0.840802
1772701796622824200,4.759824,3.329282,0.900178,-0.658650
1772701796632873000,4.769873,4.065678,0.979169,-2.297536
1772701796642921200,4.779921,3.853485,0.659262,-3.257493
1772701796652970000,4.789970,3.187616,0.307588,-3.366779
1772701796663019300,4.800019,2.079826,0.093135,-2.730723
1772701796673068000,4.810068,0.525425,-0.185579,-1.790579
1772701796683116300,4.820116,-1.088597,-0.596058,-0.629815
1772701796693165000,4.830165,-2.082773,-0.837323,0.392205
1772701796703214000,4.840214,-2.300242,-0.659747,0.921575
1772701796713263000,4.850263,-1.888320,-0.697338,1.269458
1772701796723311000,4.860311,-1.644753,-0.781151,1.496131
1772701796733360000,4.870360,-1.551425,-0.584310,1.859303
1772701796743409200,4.880409,-1.468214,-0.193103,2.289233
1772701796753458000,4.890458,-1.405197,0.131373,2.770465
1772701796763506200,4.900506,-1.581177,0.291838,3.248093
