time,seconds_elapsed,x,y,z
1772697847972288300,4.002288,-0.539177,-0.688089,-0.041620
1772697847982337500,4.012338,-0.478352,-0.566294,-0.038882
1772697847992386300,4.022386,-0.424937,-0.460364,-0.022039
1772697848002434600,4.032435,-0.405049,-0.380688,-0.023266
1772697848012483300,4.042483,-0.409870,-0.324835,-0.029556
1772697848022532400,4.052532,-0.449010,-0.257764,-0.038124
1772697848032580400,4.062580,-0.517438,-0.194546,-0.056132
1772697848042629400,4.072629,-0.606896,-0.137880,-0.086339
1772697848052678400,4.082678,-0.679642,-0.106226,-0.120188
1772697848062727400,4.092728,-0.746312,-0.080393,-0.163976
1772697848072775400,4.102775,-0.784823,-0.065098,-0.207316
1772697848082824400,4.112824,-0.804796,-0.080779,-0.251935
1772697848092873200,4.122873,-0.804573,-0.146975,-0.282655
1772697848102921500,4.132921,-0.798041,-0.298044,-0.282545
1772697848112970200,4.142970,-0.785754,-0.472079,-0.266203
1772697848123019500,4.153020,-0.756990,-0.648031,-0.237383
1772697848133067300,4.163067,-0.736006,-0.795685,-0.202625
1772697848143116500,4.173116,-0.696769,-0.855611,-0.143802
1772697848153165300,4.183165,-0.659516,-0.849954,-0.084679
1772697848163213600,4.193214,-0.621825,-0.780383,-0.011024
1772697848173262300,4.203262,-0.589914,-0.693242,0.074500
1772697848183311400,4.213311,-0.582060,-0.603226,0.133810
1772697848193359400,4.223359,-0.593204,-0.522961,0.171194
1772697848203408400,4.233408,-0.615107,-0.457581,0.217263
1772697848213457400,4.243458,-0.626824,-0.438165,0.243860
1772697848223505400,4.253505,-0.639825,-0.470250,0.275694
1772697848233554400,4.263554,-0.652470,-0.567587,0.314031
1772697848243603500,4.273604,-0.670757,-0.693410,0.331951
1772697848253651500,4.283651,-0.696179,-0.777729,0.346974
1772697848263700500,4.293700,-0.734133,-0.758309,0.353297
1772697848273749200,4.303749,-0.790841,-0.629744,0.357318
1772697848283797500,4.313798,-0.849315,-0.466225,0.367374
1772697848293846300,4.323846,-0.889268,-0.343251,0.385201
1772697848303895600,4.333896,-0.894948,-0.271765,0.398984
1772697848313943300,4.343943,-0.871009,-0.240110,0.397207
1772697848323992600,4.353993,-0.837750,-0.249136,0.411528
1772697848334041300,4.364041,-0.788787,-0.283940,0.438763
1772697848344089600,4.374090,-0.757424,-0.389714,0.468542
1772697848354138400,4.384138,-0.737389,-0.512260,0.500638
1772697848364187400,4.394188,-0.730204,-0.591874,0.542078
1772697848374235400,4.404235,-0.725523,-0.583750,0.586218
1772697848384284400,4.414284,-0.732480,-0.483396,0.601114
1772697848394333400,4.424333,-0.793125,-0.290199,0.526961
1772697848404381400,4.434381,-0.952083,-0.094416,0.387332
1772697848414430500,4.444430,-1.093697,0.087553,0.314399
1772697848424479500,4.454479,-1.107365,0.260444,0.347831
1772697848434527500,4.464528,-1.010850,0.357146,0.430062
1772697848444576500,4.474576,-0.853025,0.352529,0.534009
1772697848454625300,4.484625,-0.685453,0.305642,0.584177
1772697848464673500,4.494674,-0.571673,0.232376,0.526076
1772697848474722300,4.504722,-0.561955,0.106152,0.337939
1772697848484771600,4.514771,-0.629489,-0.157574,0.104604
1772697848494819300,4.524819,-0.672877,-0.575447,-0.032739
1772697848504868600,4.534869,-0.609066,-1.017166,-0.019221
1772697848514917400,4.544917,-0.470892,-1.075055,0.027150
1772697848524965600,4.554966,-0.363487,-0.711626,0.037784
1772697848535014400,4.565014,-0.351467,-0.289308,0.048219
1772697848545063400,4.575063,-0.374353,0.006656,0.086991
1772697848555111400,4.585111,-0.345038,0.164232,0.158251
1772697848565160400,4.595160,-0.216279,0.190237,0.271952
1772697848575209500,4.605209,-0.052059,0.171142,0.358940
1772697848585258500,4.615259,0.078799,0.169022,0.382243
1772697848595306500,4.625306,0.133874,0.200766,0.354503
1772697848605355500,4.635355,0.109898,0.247537,0.287357
1772697848615404300,4.645404,0.027807,0.295056,0.211430
1772697848625452500,4.655453,-0.071088,0.325849,0.149809
1772697848635501300,4.665501,-0.153230,0.342508,0.117987
1772697848645550600,4.675551,-0.175253,0.370734,0.121028
1772697848655598300,4.685598,-0.157677,0.408171,0.141262
1772697848665647600,4.695648,-0.118251,0.429343,0.165323
1772697848675696400,4.705696,-0.085816,0.410207,0.187463
1772697848685744600,4.715745,-0.043995,0.352496,0.216291
1772697848695793400,4.725793,-0.008418,0.295066,0.237317
1772697848705842400,4.735843,0.005032,0.252933,0.246312
1772697848715890400,4.745890,-0.013110,0.222013,0.226839
1772697848725939500,4.755939,-0.064538,0.190450,0.199625
1772697848735988500,4.765989,-0.124815,0.140162,0.166916
1772697848746036500,4.776036,-0.180425,0.098611,0.116122
1772697848756085500,4.786085,-0.206655,0.108203,0.055536
1772697848766134500,4.796135,-0.206915,0.144661,-0.009673
1772697848776182500,4.806183,-0.204584,0.157064,-0.055433
1772697848786231600,4.816231,-0.213722,0.153891,-0.089918
1772697848796280300,4.826280,-0.202585,0.163592,-0.108223
1772697848806328600,4.836329,-0.126634,0.219909,-0.108262
1772697848816377300,4.846377,-0.000638,0.286628,-0.088962
1772697848826426600,4.856427,0.149909,0.315331,-0.062384
1772697848836474400,4.866474,0.298706,0.308333,-0.040178
1772697848846523600,4.876524,0.431013,0.274533,-0.020380
1772697848856572400,4.886573,0.514399,0.251638,-0.002252
1772697848866620400,4.896620,0.555941,0.296335,0.013531
1772697848876669400,4.906669,0.540489,0.392364,0.020547
1772697848886718500,4.916719,0.482994,0.507055,0.028925
1772697848896766500,4.926766,0.406656,0.617282,0.035653
1772697848906815500,4.936815,0.336419,0.714489,0.032156
1772697848916864500,4.946865,0.277832,0.810330,0.023524
1772697848926912300,4.956912,0.252320,0.878970,0.019300
1772697848936961500,4.966961,0.264965,0.878394,0.021514
1772697848947010600,4.977010,0.302564,0.810374,0.048827
1772697848957058300,4.987058,0.334682,0.702376,0.083181
1772697848967107600,4.997108,0.346008,0.581988,0.098773
1772697848977156600,5.007156,0.340481,0.503327,0.091875
1772697848987204600,5.017205,0.342696,0.451236,0.067933
1772697848997253600,5.027254,0.360434,0.420733,0.043963
1772697849007302400,5.037302,0.376363,0.392242,0.026187
1772697849017350400,5.047350,0.378955,0.358609,0.010181
1772697849027399400,5.057399,0.352247,0.314335,-0.002824
1772697849037448700,5.067449,0.286197,0.264794,-0.037389
1772697849047496400,5.077496,0.222160,0.197214,-0.061467
1772697849057545700,5.087546,0.190915,0.119753,-0.084808
1772697849067594500,5.097594,0.192160,0.043157,-0.108669
1772697849077643500,5.107644,0.213360,-0.039431,-0.130100
1772697849087691500,5.117691,0.238567,-0.103786,-0.142357
1772697849097740500,5.127740,0.273621,-0.157642,-0.148390
1772697849107789600,5.137790,0.308627,-0.204943,-0.148608
1772697849117837600,5.147838,0.345893,-0.247642,-0.142951
1772697849127886600,5.157886,0.370080,-0.279176,-0.136750
1772697849137935600,5.167936,0.386351,-0.280668,-0.126571
1772697849147983600,5.177984,0.405491,-0.247184,-0.117959
1772697849158032600,5.188033,0.436859,-0.185594,-0.104804
1772697849168081400,5.198081,0.460858,-0.102889,-0.108356
1772697849178129400,5.208129,0.480131,-0.012951,-0.103071
1772697849188178400,5.218178,0.483968,0.097756,-0.091310
1772697849198227700,5.228228,0.485545,0.206472,-0.068084
1772697849208275500,5.238275,0.488316,0.289781,-0.051547
1772697849218324700,5.248325,0.485612,0.328454,-0.042704
1772697849228373500,5.258374,0.501943,0.333114,-0.039986
1772697849238421500,5.268421,0.518940,0.303169,-0.027362
1772697849248470500,5.278470,0.534575,0.259312,-0.008819
1772697849258519600,5.288520,0.551535,0.215968,-0.003700
1772697849268567600,5.298568,0.577439,0.186060,-0.015167
1772697849278616600,5.308616,0.595540,0.132968,-0.032240
1772697849288665600,5.318666,0.600115,0.048546,-0.039263
1772697849298713300,5.328713,0.600864,-0.032315,-0.019213
1772697849308762600,5.338763,0.607331,-0.056549,-0.007224
1772697849318811600,5.348812,0.643265,-0.060140,-0.012706
1772697849328859600,5.358860,0.694074,-0.065331,-0.014424
1772697849338908400,5.368908,0.749278,-0.066954,-0.014947
1772697849348957400,5.378958,0.818571,-0.070277,-0.012537
1772697849359005400,5.389005,0.861870,-0.082058,-0.029568
1772697849369054500,5.399054,0.892693,-0.081885,-0.025172
1772697849379103700,5.409104,0.901246,-0.077381,-0.033183
1772697849389151500,5.419151,0.897981,-0.088298,-0.040070
1772697849399200500,5.429200,0.873011,-0.123824,-0.043101
1772697849409249500,5.439250,0.839145,-0.102766,-0.059594
1772697849419297500,5.449298,0.798651,-0.059475,-0.086064
1772697849429346600,5.459347,0.776469,0.007988,-0.113194
1772697849439395600,5.469396,0.780160,0.099561,-0.135914
1772697849449443600,5.479444,0.790381,0.197352,-0.125074
1772697849459492400,5.489492,0.788908,0.252317,-0.087750
1772697849469541600,5.499542,0.730693,0.326084,-0.007885
1772697849479589400,5.509589,0.620607,0.453122,0.139893
1772697849489638700,5.519639,0.507307,0.576884,0.279844
1772697849499687400,5.529687,0.405647,0.719962,0.363374
1772697849509735700,5.539736,0.320310,0.888662,0.367240
1772697849519784400,5.549784,0.239379,0.985066,0.327617
1772697849529833500,5.559833,0.126792,0.975190,0.269204
1772697849539881500,5.569882,-0.047002,0.871839,0.209135
1772697849549930500,5.579930,-0.264355,0.690525,0.156146
