time,seconds_elapsed,z,y,x
1772697844043259600,0.073259765625,0.011638561263680458,-0.03786846250295639,-0.024675941094756126
1772697844053307600,0.0833076171875,0.012892377562820911,-0.013828108087182045,-0.04495404660701752
1772697844063356700,0.093356689453125,0.010877520777285099,0.007703859359025955,-0.06702592223882675
1772697844073405400,0.103405517578125,0.015687722712755203,0.003880358301103115,-0.08888088911771774
1772697844083453700,0.11345361328125,0.019665921106934547,-0.0016212565824389458,-0.10294345021247864
1772697844093502500,0.12350244140625,0.02792038768529892,-0.009899692609906197,-0.1101483628153801
1772697844103551700,0.1335517578125,0.03666665777564049,-0.002898954786360264,-0.10565000772476196
1772697844113599500,0.143599609375,0.04325291886925697,0.006808001082390547,-0.08446402847766876
1772697844123648800,0.153648681640625,0.04546677693724632,0.002481506671756506,-0.06152820587158203
1772697844133697500,0.163697509765625,0.042174842208623886,-0.013948598876595497,-0.046519163995981216
1772697844143745500,0.17374560546875,0.042146820574998856,-0.02994406223297119,-0.04144890233874321
1772697844153794600,0.183794677734375,0.052313704043626785,-0.02270852029323578,-0.04824129492044449
1772697844163843600,0.193843505859375,0.0616910420358181,0.00562143512070179,-0.047915223985910416
1772697844173891600,0.2038916015625,0.06278347223997116,0.047777675092220306,-0.04095878079533577
1772697844183940600,0.213940673828125,0.0685211569070816,0.07823167741298676,-0.03436652943491936
1772697844193989600,0.22398974609375,0.07219738513231277,0.09529348462820053,-0.02108508162200451
1772697844204037600,0.23403759765625,0.07501596212387085,0.07771292328834534,-0.011170662008225918
1772697844214086700,0.244086669921875,0.07796301692724228,0.04782054200768471,-0.009967179037630558
1772697844224135700,0.2541357421875,0.0715477243065834,0.028589587658643723,-0.012531536631286144
1772697844234183400,0.264183349609375,0.07548307627439499,0.03428555652499199,-0.01944696716964245
1772697844244232700,0.274232666015625,0.08170970529317856,0.06236235052347183,-0.025070874020457268
1772697844254281500,0.284281494140625,0.09211387485265732,0.10618067532777786,-0.016771400347352028
1772697844264329500,0.29432958984375,0.10152430087327957,0.10434339195489883,-0.012687969952821732
