time,seconds_elapsed,x,y,z
1772702133502777900,2.004778,-0.000496,0.001893,-0.000250
1772702133512828000,2.014828,0.003939,-0.003156,0.002412
1772702133522877700,2.024878,-0.003140,-0.000421,-0.001506
1772702133532926700,2.034927,0.001107,-0.001434,-0.000174
1772702133542976300,2.044976,0.001153,0.000108,0.000082
1772702133553025000,2.055025,-0.000105,-0.000298,-0.000277
1772702133563075000,2.065075,-0.001096,-0.000635,0.001353
1772702133573124000,2.075124,-0.001740,-0.000307,-0.000387
1772702133583174000,2.085174,-0.002258,0.000738,-0.000062
1772702133593223200,2.095223,0.000851,0.001391,0.001139
1772702133603273200,2.105273,0.001391,-0.000393,0.000981
1772702133613322000,2.115322,-0.003284,0.000526,0.000173
1772702133623372000,2.125372,-0.002911,-0.000021,0.001593
1772702133633421000,2.135421,-0.001383,-0.000413,-0.000385
1772702133643471000,2.145471,-0.000754,-0.002473,0.000684
1772702133653520100,2.155520,-0.000037,0.000816,-0.000737
1772702133663570200,2.165570,0.002074,-0.001485,-0.000303
1772702133673619000,2.175619,0.000201,-0.000681,0.001001
1772702133683669000,2.185669,0.000650,0.000319,-0.000712
1772702133693718300,2.195718,0.001882,-0.000805,0.001809
1772702133703768000,2.205768,-0.000160,0.001740,-0.000836
1772702133713817000,2.215817,-0.001841,0.000367,-0.001146
1772702133723867100,2.225867,0.000462,0.000412,0.000108
1772702133733917000,2.235917,-0.000921,0.000083,-0.000763
1772702133743966200,2.245966,0.003789,-0.000242,0.000411
1772702133754016300,2.256016,0.001033,0.000258,-0.003051
1772702133764065000,2.266065,-0.002027,0.000270,-0.000537
1772702133774115000,2.276115,-0.000576,0.001372,-0.002424
1772702133784164000,2.286164,0.002282,-0.001473,0.001061
1772702133794214000,2.296214,0.000630,0.002741,0.001083
1772702133804263200,2.306263,-0.001500,0.001100,-0.001410
1772702133814313200,2.316313,0.001977,-0.001849,-0.002022
1772702133824362000,2.326362,-0.000865,0.000328,0.000263
1772702133834412000,2.336412,-0.004372,0.001319,-0.001145
1772702133844461000,2.346461,0.000675,0.000024,0.002446
1772702133854511000,2.356511,0.000342,-0.000051,-0.000294
1772702133864560000,2.366560,0.002726,0.000016,-0.000198
1772702133874610200,2.376610,-0.000735,0.000682,-0.002590
1772702133884659000,2.386659,0.002244,0.001490,0.000209
1772702133894709000,2.396709,0.000255,-0.001094,-0.001848
1772702133904758000,2.406758,0.001632,-0.001466,0.001957
1772702133914808000,2.416808,-0.000152,-0.001379,0.000043
1772702133924857000,2.426857,-0.000802,-0.000340,-0.000285
1772702133934907000,2.436907,-0.001034,0.001309,-0.000712
1772702133944956200,2.446956,0.001398,-0.000182,-0.001934
1772702133955006200,2.457006,0.000882,-0.002009,-0.000606
1772702133965056300,2.467056,0.000926,-0.001491,0.000107
1772702133975105000,2.477105,0.001280,-0.000084,0.000268
1772702133985155000,2.487155,0.000167,-0.000658,-0.000959
1772702133995204000,2.497204,-0.002683,0.002555,-0.000721
1772702134005254100,2.507254,-0.001070,0.000701,0.001173
1772702134015303200,2.517303,0.000173,-0.000655,0.000326
1772702134025353200,2.527353,-0.000648,-0.001249,-0.000111
1772702134035402000,2.537402,-0.001306,0.000971,-0.000088
1772702134045452000,2.547452,-0.000299,0.001544,0.000018
1772702134055501000,2.557501,0.001629,-0.000417,0.001806
1772702134065551000,2.567551,0.001828,0.000372,-0.001498
1772702134075600100,2.577600,-0.000850,0.002700,0.000556
1772702134085650000,2.587650,-0.001067,-0.001222,0.000170
1772702134095699000,2.597699,0.002351,-0.002358,0.002510
1772702134105749200,2.607749,0.000849,-0.000044,-0.000400
1772702134115798000,2.617798,-0.000050,-0.002305,0.002370
1772702134125848000,2.627848,0.001097,-0.000637,-0.001475
1772702134135897000,2.637897,0.000644,0.001668,0.001027
1772702134145947000,2.647947,0.001463,-0.000452,0.002681
1772702134155996200,2.657996,-0.000981,0.001525,0.001650
1772702134166046200,2.668046,0.001786,0.000526,0.000031
1772702134176095000,2.678095,0.000226,0.000486,0.002513
1772702134186145000,2.688145,0.000342,0.002326,-0.000420
1772702134196195000,2.698195,-0.000796,-0.000383,0.000528
1772702134206244000,2.708244,0.000317,-0.001073,0.000189
1772702134216294100,2.718294,0.000119,-0.001807,0.002066
1772702134226343200,2.728343,0.000748,0.001868,-0.000198
1772702134236393000,2.738393,0.002948,-0.001318,0.001179
1772702134246442000,2.748442,-0.000096,0.001654,0.001179
1772702134256492000,2.758492,-0.002151,0.000561,-0.000512
1772702134266541000,2.768541,0.004070,0.001678,-0.000024
1772702134276591000,2.778591,-0.001124,0.000565,0.001623
1772702134286640000,2.788640,0.000345,0.000320,0.000716
1772702134296690000,2.798690,0.000696,-0.000144,-0.002423
1772702134306739200,2.808739,-0.002287,-0.000191,0.000170
1772702134316789200,2.818789,-0.000209,0.000070,-0.000734
1772702134326838000,2.828838,0.001083,0.003145,0.000037
1772702134336888000,2.838888,-0.000588,0.001502,0.001172
1772702134346937000,2.848937,0.001908,-0.000717,0.000556
1772702134356987000,2.858987,0.003083,0.000595,-0.001435
1772702134367036200,2.869036,0.000167,-0.002091,0.001153
1772702134377086200,2.879086,0.001685,-0.000105,0.001402
1772702134387135000,2.889135,0.000378,0.001458,0.000414
1772702134397185000,2.899185,0.000047,0.000646,0.002732
1772702134407235000,2.909235,-0.001905,0.002576,-0.001138
1772702134417284000,2.919284,-0.000078,-0.000405,-0.000606
1772702134427334100,2.929334,0.000732,0.000403,0.001387
1772702134437383200,2.939383,0.000341,-0.002249,0.002009
1772702134447433000,2.949433,-0.000865,0.002167,-0.001334
1772702134457482000,2.959482,-0.000934,-0.001072,0.001519
1772702134467532000,2.969532,0.001994,-0.000151,0.001443
1772702134477581000,2.979581,-0.002018,-0.001315,0.000472
1772702134487631000,2.989631,0.003675,-0.000665,0.002564
1772702134497680100,2.999680,0.002345,0.000422,0.000505
1772702134507730000,3.009730,-0.001058,-0.000602,0.001701
1772702134517779200,3.019779,-0.000489,-0.002042,-0.000413
1772702134527829200,3.029829,-0.000857,-0.000852,-0.002379
1772702134537878000,3.039878,-0.001857,0.000618,-0.000543
1772702134547928300,3.049928,-0.000953,0.001335,0.002268
1772702134557977000,3.059977,0.000613,0.001263,-0.002972
1772702134568027100,3.070027,0.000436,0.000080,-0.000021
1772702134578076400,3.080076,-0.000951,0.001444,0.001643
1772702134588126200,3.090126,0.000385,0.001486,0.001324
1772702134598175200,3.100175,0.000663,0.003657,-0.002048
1772702134608225300,3.110225,-0.001947,-0.002403,-0.000020
1772702134618274300,3.120274,0.000146,0.000245,0.001889
1772702134628324400,3.130324,0.000175,0.000046,-0.001033
1772702134638374400,3.140375,0.003299,0.000556,0.000485
1772702134648423200,3.150423,0.001801,-0.003045,-0.000010
1772702134658473200,3.160473,-0.001021,-0.001151,-0.000421
1772702134668522200,3.170522,0.001322,-0.000563,-0.001342
1772702134678572300,3.180572,0.000581,0.001178,0.000612
1772702134688621300,3.190621,0.000526,0.000760,0.000811
1772702134698671400,3.200671,-0.000780,0.001603,-0.000088
1772702134708720000,3.210720,-0.000624,-0.000166,0.000189
1772702134718770200,3.220770,-0.001729,-0.000139,-0.001505
1772702134728819500,3.230819,0.001946,-0.002150,0.000141
1772702134738869200,3.240869,-0.001533,-0.001303,0.000536
1772702134748918300,3.250918,-0.001223,-0.000006,0.000779
1772702134758968300,3.260968,-0.002081,0.002603,-0.000641
1772702134769017300,3.271017,-0.001652,0.000802,-0.001110
1772702134779067400,3.281067,-0.000636,0.001871,-0.002555
1772702134789116400,3.291116,0.000612,-0.000088,-0.000271
1772702134799166200,3.301166,-0.002177,0.002383,0.001479
1772702134809215200,3.311215,0.002865,-0.001421,0.001561
1772702134819265300,3.321265,-0.000252,0.000644,0.000748
1772702134829314300,3.331314,-0.001008,0.000729,-0.000366
1772702134839364400,3.341364,0.001373,-0.000457,-0.000900
1772702134849413400,3.351413,-0.000383,-0.001317,0.000190
1772702134859463200,3.361463,0.000917,0.000557,0.000299
1772702134869513200,3.371513,-0.000443,-0.000766,0.001101
1772702134879562500,3.381562,-0.000120,0.000102,0.001195
1772702134889612300,3.391612,0.000594,0.003349,-0.000470
1772702134899661300,3.401661,-0.000999,0.000609,-0.000489
1772702134909711400,3.411711,0.000608,0.001753,-0.000406
1772702134919760100,3.421760,0.003302,0.001202,-0.002243
1772702134929810200,3.431810,-0.001374,0.001004,0.001244
1772702134939859500,3.441859,0.002973,-0.000000,-0.000891
1772702134949909200,3.451909,-0.001990,0.000468,0.000940
1772702134959958300,3.461958,0.000158,-0.001480,0.002125
1772702134970008300,3.472008,0.001781,-0.000398,-0.001314
1772702134980057300,3.482057,-0.000226,-0.000963,0.003246
1772702134990107400,3.492107,0.001036,0.001682,0.001018
1772702135000156400,3.502156,-0.002524,0.000750,-0.000453
1772702135010206200,3.512206,-0.000652,-0.000835,0.001050
1772702135020255200,3.522255,0.000529,-0.000761,-0.000003
1772702135030305300,3.532305,0.003109,0.000617,0.000839
1772702135040354300,3.542354,-0.000942,0.000630,-0.001433
1772702135050404400,3.552404,0.000374,-0.000025,0.002622
1772702135060453000,3.562453,-0.000973,-0.000728,-0.001781
1772702135070503200,3.572503,-0.002127,0.001618,-0.000809
1772702135080553200,3.582553,-0.001769,0.002502,-0.002364
1772702135090602500,3.592603,-0.002058,-0.002134,-0.000532
1772702135100652300,3.602652,0.000919,-0.001512,0.000535
1772702135110701300,3.612701,0.000636,-0.000191,0.002284
1772702135120751400,3.622751,-0.002535,-0.000452,-0.000012
