time,seconds_elapsed,z,y,x
1772701991952406800,0.06540673828125,0.0411214753985405,0.0008753160946071148,-0.21584554016590118
1772701991962456000,0.0754560546875,0.04172201827168465,0.018122214823961258,-0.19598102569580078
1772701991972504800,0.0855048828125,0.03278670832514763,0.028974829241633415,-0.18464265763759613
1772701991982553900,0.095553955078125,0.02495488151907921,0.047265417873859406,-0.17291168868541718
1772701991992603000,0.105602783203125,0.010551920160651207,0.07806292176246643,-0.17369136214256287
1772701992002652000,0.11565185546875,-0.0008581276051700115,0.12100052833557129,-0.17846640944480896
1772701992012701000,0.125700927734375,-0.014107140712440014,0.16017471253871918,-0.18139004707336426
1772701992022750000,0.13575,-0.017932770773768425,0.1689615547657013,-0.17635826766490936
1772701992032800000,0.145800048828125,-0.021365586668252945,0.1599574089050293,-0.16587074100971222
1772701992042848800,0.155848876953125,-0.01958632841706276,0.13547682762145996,-0.15389344096183777
1772701992052898000,0.16589794921875,-0.022706735879182816,0.115814208984375,-0.1491367220878601
1772701992062947000,0.175947021484375,-0.022275835275650024,0.10357805341482162,-0.14786426723003387
1772701992072995800,0.185995849609375,-0.017086118459701538,0.10558666288852692,-0.14668507874011993
1772701992083045000,0.196045166015625,-0.009333658032119274,0.11925587803125381,-0.15217891335487366
1772701992093094000,0.206093994140625,0.008896179497241974,0.1379208117723465,-0.1539754718542099
1772701992103143000,0.216142822265625,0.027685048058629036,0.1449398398399353,-0.149821475148201
1772701992113192000,0.22619189453125,0.03876578435301781,0.1572694629430771,-0.1500522494316101
1772701992123242000,0.236241943359375,0.059520598500967026,0.17808473110198975,-0.1515825092792511
1772701992133291000,0.246291015625,0.08113761246204376,0.1864742785692215,-0.14213943481445312
1772701992143339800,0.25633984375,0.10030730813741684,0.19116942584514618,-0.1341904252767563
1772701992153389000,0.26638916015625,0.11497609317302704,0.18213188648223877,-0.13071860373020172
1772701992163437800,0.276437744140625,0.13356496393680573,0.18458092212677002,-0.12386016547679901
1772701992173486800,0.28648681640625,0.14586499333381653,0.1999983787536621,-0.12267402559518814
1772701992183535900,0.296535888671875,0.15768729150295258,0.20724643766880035,-0.12011206150054932
1772701992193585000,0.3065849609375,0.16862507164478302,0.22475390136241913,-0.12318654358386993
1772701992203635000,0.316635009765625,0.17983883619308472,0.2460472136735916,-0.1580590307712555
1772701992213684000,0.32668408203125,0.18481633067131042,0.27265068888664246,-0.19217969477176666
1772701992223733000,0.33673291015625,0.1794724315404892,0.3112891614437103,-0.2290133386850357
1772701992233781800,0.34678173828125,0.15524372458457947,0.35037776827812195,-0.27108439803123474
1772701992243831000,0.3568310546875,0.1156611517071724,0.3867238163948059,-0.3106435239315033
1772701992253880000,0.366880126953125,0.06814870238304138,0.42752042412757874,-0.33663129806518555
1772701992263928800,0.3769287109375,0.028747497126460075,0.46494823694229126,-0.34400638937950134
1772701992273978000,0.38697802734375,-0.005455142818391323,0.514916181564331,-0.3323637843132019
1772701992284027000,0.39702685546875,-0.017635108903050423,0.5876753926277161,-0.312446266412735
1772701992294077000,0.407076904296875,-0.001466764835640788,0.6569257378578186,-0.28489115834236145
1772701992304126000,0.4171259765625,0.019488850608468056,0.7207950353622437,-0.2663339674472809
1772701992314175000,0.427175048828125,0.030882438644766808,0.7754147052764893,-0.26980751752853394
1772701992324224000,0.43722412109375,0.03245237469673157,0.8261255621910095,-0.3049769401550293
1772701992334272800,0.447272705078125,0.02362862415611744,0.8679941296577454,-0.343227356672287
1772701992344322000,0.457322021484375,0.016577640548348427,0.8835041522979736,-0.3804554045200348
1772701992354370800,0.467370849609375,0.017894869670271873,0.9234780073165894,-0.39745572209358215
1772701992364419800,0.477419921875,0.02437726967036724,0.9878509044647217,-0.39881208539009094
1772701992374470000,0.487469970703125,0.030129114165902138,1.0425909757614136,-0.39654308557510376
1772701992384519000,0.497518798828125,0.03049609810113907,1.0953564643859863,-0.38348641991615295
1772701992394568000,0.50756787109375,0.032577093690633774,1.1519086360931396,-0.35867029428482056
1772701992404616400,0.517616455078125,0.029084622859954834,1.2146096229553223,-0.33168208599090576
1772701992414665200,0.527665283203125,0.014996292069554329,1.2550404071807861,-0.31520727276802063
1772701992424714200,0.53771435546875,-0.019025057554244995,1.266717553138733,-0.3077770471572876
1772701992434763300,0.54776318359375,-0.05960094556212425,1.2476683855056763,-0.3025030195713043
1772701992444812300,0.557812255859375,-0.09328141063451767,1.2089515924453735,-0.30093201994895935
